id,index,name,oldParentTaskId,parentTaskId,score,totalScore,status,subtask
1,1,Nome da tarefa 1,0,0,2,0,done,
2,1,Nome da tarefa 2,0,0,2,0,done,
3,1,Nome da tarefa 3,4,0,2,0,in-progress,
4,2,Nome da tarefa 4,5,16,2,0,done,
5,2,Nome da tarefa 5,0,3,2,0,done,
6,1,Nome da tarefa 6,0,0,2,0,blocked,
7,2,Nome da tarefa 7,0,6,2,0,in-progress,
8,2,Nome da tarefa 8,0,6,2,0,done,
9,2,Nome da tarefa 9,0,6,2,0,done,
10,3,Nome da tarefa 10,0,7,2,0,done,
11,3,Nome da tarefa 11,0,7,2,0,done,
12,3,Nome da tarefa 12,0,7,2,0,done,
13,1,Nome da tarefa 13,0,0,2,0,in-progress,
14,2,Nome da tarefa 14,0,3,2,0,done,
15,2,Nome da tarefa 15,0,3,2,0,done,
16,1,Nome da tarefa 16,3,0,2,0,done,
17,2,Nome da tarefa 17,0,8,2,0,done,
18,2,Nome da tarefa 18,0,8,2,0,in-progress,
19,4,Nome da tarefa 19,0,10,2,0,to-do,
20,1,Nome da tarefa 20,0,1,2,0,blocked,
